,Species,gps,Year,nivalis_2007_18km,nivalis_2008_18km,nivalis_2009_18km,nivalis_2010_18km,nivalis_2011_18km,nivalis_2012_18km,nivalis_2013_18km,nivalis_2014_18km,nivalis_2015_18km,nivalis_2016_18km,nivalis_2017_18km,nivalis_2018_18km,nivalis_2019_18km,nivalis_2020_18km,nivalis_2021_18km,alpestris_2007_18km,alpestris_2008_18km,alpestris_2009_18km,alpestris_2010_18km,alpestris_2011_18km,alpestris_2012_18km,alpestris_2013_18km,alpestris_2014_18km,alpestris_2015_18km,alpestris_2016_18km,alpestris_2017_18km,alpestris_2018_18km,alpestris_2019_18km,alpestris_2020_18km,alpestris_2021_18km,mexicanus_2007_18km,mexicanus_2008_18km,mexicanus_2009_18km,mexicanus_2010_18km,mexicanus_2011_18km,mexicanus_2012_18km,mexicanus_2013_18km,mexicanus_2014_18km,mexicanus_2015_18km,mexicanus_2016_18km,mexicanus_2017_18km,mexicanus_2018_18km,mexicanus_2019_18km,mexicanus_2020_18km,mexicanus_2021_18km
33,Brachiacantha ursina,"(45.483933, -75.645632)",2010,9,7,10,10,11,18,29,22,24,29,24,37,30,72,0,1,1,2,2,1,1,7,3,2,7,5,7,7,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Brachiacantha ursina,"(44.619998931884766, -75.7699966430664)",2010,1,0,0,2,0,2,1,6,3,2,5,4,3,5,9,0,0,0,2,0,2,2,2,1,0,0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Brachiacantha ursina,"(47.0196784428, -92.6184909773)",2010,0,5,8,2,0,5,6,11,13,15,15,29,16,24,18,0,0,0,0,1,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Brachiacantha ursina,"(30.716802, -89.605044)",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Brachiacantha ursina,"(39.307956, -76.617016)",2010,2,0,1,1,2,6,0,8,4,2,0,1,0,0,1,0,0,0,1,3,4,5,2,12,4,4,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Brachiacantha ursina,"(39.179526, -84.493792)",2010,3,1,2,0,0,0,0,2,0,0,1,4,0,1,0,4,6,7,3,11,3,11,7,12,3,8,7,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Brachiacantha ursina,"(39.869213, -75.029263)",2010,0,1,0,0,1,5,4,1,3,1,3,3,2,0,1,0,1,1,0,1,1,3,6,3,3,4,7,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Brachiacantha ursina,"(42.895585, -71.582737)",2010,0,1,0,1,3,6,5,6,4,7,7,7,4,4,8,0,0,0,2,1,3,1,5,2,7,4,4,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Brachiacantha ursina,"(40.472379, -90.670355)",2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Brachiacantha ursina,"(45.870208740234375, -82.54186248779297)",2010,0,0,0,0,1,0,1,0,4,2,0,1,0,0,0,0,0,0,0,1,1,2,1,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Brachiacantha ursina,"(42.02419, -93.528718)",2010,0,0,0,0,1,1,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,1,2,1,3,2,3,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Brachiacantha ursina,"(44.621, -75.773)",2010,1,0,0,2,0,2,1,6,3,2,4,4,3,5,9,0,0,0,2,0,2,2,2,1,0,0,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Brachiacantha ursina,"(45.87021, -82.54186)",2010,0,0,0,0,1,0,1,0,4,2,0,1,0,0,0,0,0,0,0,1,1,2,1,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Brachiacantha ursina,"(45.79124, -82.74946)",2010,0,0,0,0,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Brachiacantha ursina,"(38.840845, -77.249565)",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Brachiacantha ursina,"(44.619998931884766, -75.7699966430664)",2010,1,0,0,2,0,2,1,6,3,2,5,4,3,5,9,0,0,0,2,0,2,2,2,1,0,0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Brachiacantha ursina,"(45.79124069213867, -82.74945831298828)",2010,0,0,0,0,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Brachiacantha ursina,"(44.62, -75.77)",2010,1,0,0,2,0,2,1,6,3,2,5,4,3,5,9,0,0,0,2,0,2,2,2,1,0,0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Brachiacantha ursina,"(40.6020599092, -74.5327065784)",2011,1,0,1,1,4,1,1,1,4,3,2,1,0,0,2,1,0,0,1,2,7,6,4,8,4,7,8,5,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Brachiacantha ursina,"(42.4134168, -73.673174)",2011,9,0,5,7,11,6,11,16,9,5,20,17,9,14,53,5,0,0,0,2,2,0,10,5,3,6,4,3,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Brachiacantha ursina,"(43.3594444, -73.656944)",2011,18,7,4,9,8,3,17,20,11,16,39,13,14,23,31,10,2,3,0,9,1,4,19,8,3,11,7,9,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Brachiacantha ursina,"(41.7622339, -73.8319127)",2011,0,0,0,1,4,1,7,4,0,3,12,6,2,4,17,0,0,0,0,0,0,1,1,2,2,3,2,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Brachiacantha ursina,"(43.038798, -73.806821)",2011,2,2,4,7,6,4,3,6,5,9,17,10,11,13,49,1,0,7,11,4,10,5,5,9,3,7,4,6,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Brachiacantha ursina,"(42.3355556, -72.671666)",2011,20,12,12,18,18,8,56,40,28,18,29,36,39,50,56,25,14,12,11,21,30,32,44,42,39,34,39,33,46,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Brachiacantha ursina,"(42.4511593, -71.900118)",2011,6,4,7,5,12,5,11,9,6,14,17,10,25,26,31,3,8,3,5,4,4,3,9,20,8,4,3,9,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Brachiacantha ursina,"(41.8280664, -72.447367)",2011,7,6,7,6,8,6,6,11,2,4,9,10,6,11,16,1,3,2,9,5,7,6,7,4,10,13,8,7,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Brachiacantha ursina,"(42.459085, -71.275566)",2011,14,15,7,12,11,14,36,26,14,18,24,18,6,23,26,6,5,2,7,5,8,9,8,11,14,14,12,5,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Brachiacantha ursina,"(42.49077, -83.425605)",2011,2,2,4,1,2,5,4,1,3,2,1,1,0,2,0,5,11,10,9,8,16,18,12,27,16,20,18,36,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Brachiacantha ursina,"(42.34683, -85.73727)",2011,2,0,0,0,0,1,0,2,1,0,2,5,2,4,4,2,1,0,0,3,0,2,3,2,3,4,9,16,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Brachiacantha ursina,"(45.2087871179, -85.0184414908)",2011,0,1,3,7,10,12,11,8,15,8,11,1,8,5,1,2,0,0,1,1,1,4,2,4,4,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Brachiacantha ursina,"(44.399958, -69.784554)",2011,0,3,2,0,0,1,2,1,4,3,3,3,0,6,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Brachiacantha ursina,"(43.44578, -70.663219)",2011,7,10,5,8,7,7,27,9,13,18,22,24,16,18,22,3,3,2,5,11,10,5,12,12,9,13,12,11,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Brachiacantha ursina,"(46.8498484406, -71.2591794446)",2011,19,30,18,35,28,47,45,47,78,86,72,63,48,186,0,9,3,4,4,4,10,9,17,14,30,24,15,22,36,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Brachiacantha ursina,"(41.852849, -71.456165)",2011,0,1,0,0,0,1,1,4,1,0,2,3,0,4,11,0,1,0,0,0,0,1,1,1,1,1,3,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Brachiacantha ursina,"(40.556341, -77.342952)",2011,2,2,1,0,2,0,1,1,1,0,0,1,0,0,3,3,2,1,1,1,0,2,0,1,4,5,10,2,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Brachiacantha ursina,"(35.140556, -85.232778)",2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Brachiacantha ursina,"(46.807303, -64.906962)",2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Brachiacantha ursina,"(45.5213, -78.4291)",2011,2,1,0,3,4,2,16,11,18,13,16,16,13,40,0,3,1,3,4,1,6,4,9,7,6,12,5,5,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Brachiacantha ursina,"(45.34651, -75.68525)",2012,19,17,20,24,34,41,70,63,70,137,175,141,148,177,0,6,12,10,6,12,12,34,34,26,62,113,51,76,105,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
